 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano processamento
Capítulo CID-10: V.   Transtornos mentais e comportamentais
Período:Jan/2008-Set/2025
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"130420 TEFE";2;3;2;5;3;5;13;13;11;9;7;7;10;6;2;11;3;5;117
"130423 TONANTINS";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"130426 UARINI";-;-;-;-;-;-;-;-;-;-;-;2;-;1;4;2;2;-;11
"130430 URUCARA";1;1;-;-;1;-;-;-;-;-;-;-;-;1;1;1;2;7;15
"130440 URUCURITUBA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;1;5
"140002 AMAJARI";-;2;1;-;2;2;2;3;4;4;-;-;-;1;-;1;-;-;22
"140005 ALTO ALEGRE";-;-;3;3;1;2;3;4;5;5;3;3;1;-;1;1;1;2;38
"140010 BOA VISTA";9;28;87;107;176;241;143;174;276;309;190;189;148;163;218;219;120;54;2851
"140015 BONFIM";1;1;1;2;2;4;2;1;1;-;1;-;-;6;9;7;-;-;38
"140017 CANTA";-;1;1;3;5;4;3;1;5;4;4;5;7;2;4;4;-;2;55
"140020 CARACARAI";-;3;-;-;2;2;3;3;2;5;5;3;1;-;-;5;1;4;39
"140023 CAROEBE";-;1;4;11;3;3;2;-;1;4;-;-;1;1;-;2;-;-;33
"140028 IRACEMA";1;-;2;3;3;2;2;3;1;-;1;1;1;-;2;-;-;1;23
"140030 MUCAJAI";2;1;1;3;2;3;3;4;7;9;7;2;2;1;2;3;-;1;53
"140040 NORMANDIA";-;-;1;-;1;1;1;-;4;4;1;1;-;-;3;-;2;-;19
"140045 PACARAIMA";-;1;2;5;-;1;2;2;6;2;-;1;2;1;1;2;2;1;31
"140047 RORAINOPOLIS";-;-;6;6;4;8;3;7;15;2;5;3;3;4;7;11;7;3;94
"140050 SAO JOAO DA BALIZA";-;-;-;-;-;2;2;3;2;2;2;2;-;-;1;6;2;3;27
"140060 SAO LUIZ";-;-;1;-;-;2;1;-;-;1;1;2;-;-;-;3;-;2;13
"140070 UIRAMUTA";-;-;1;-;-;-;-;1;4;5;2;1;-;1;1;-;-;-;16
"150010 ABAETETUBA";9;19;24;24;26;24;39;45;39;39;45;50;46;51;55;67;70;47;719
"150013 ABEL FIGUEIREDO";-;-;-;1;1;-;3;-;-;2;-;1;-;-;-;-;-;2;10
"150020 ACARA";5;7;12;7;9;11;18;15;20;26;24;22;11;20;13;22;14;10;266
"150030 AFUA";1;1;4;3;2;-;-;1;2;-;1;1;-;2;1;1;-;-;20
"150034 AGUA AZUL DO NORTE";7;1;4;2;1;5;2;7;1;2;1;2;6;9;15;9;12;7;93
"150040 ALENQUER";4;-;-;1;2;-;1;-;-;-;1;5;1;5;10;10;19;14;73
"150050 ALMEIRIM";13;-;7;5;5;3;3;-;6;3;6;8;1;2;-;-;1;5;68
"150060 ALTAMIRA";2;4;118;100;62;5;6;6;1;6;2;3;5;7;3;4;1;10;345
"150070 ANAJAS";-;1;4;4;3;5;6;3;1;2;4;1;3;1;5;7;13;7;70
"150080 ANANINDEUA";176;203;289;273;302;356;396;493;455;447;437;357;325;425;434;467;484;389;6708
