 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano processamento
Capítulo CID-10: V.   Transtornos mentais e comportamentais
Período:Jan/2008-Set/2025
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"330115 CARDOSO MOREIRA";29;8;16;6;14;12;13;-;1;-;-;1;3;-;-;-;-;-;103
"330120 CARMO";36;61;83;79;49;80;97;85;77;78;87;98;86;87;97;100;82;51;1413
"330130 CASIMIRO DE ABREU";22;25;20;37;17;18;23;51;14;19;18;30;32;65;53;48;75;88;655
"330140 CONCEICAO DE MACABU";9;7;8;6;24;35;27;23;9;10;4;14;8;2;2;1;-;1;190
"330150 CORDEIRO";15;12;8;9;15;18;17;10;-;8;7;13;-;1;7;8;11;10;169
"330160 DUAS BARRAS";26;22;17;8;12;14;11;5;2;8;18;12;3;8;12;11;7;19;215
"330170 DUQUE DE CAXIAS";727;406;629;701;562;514;706;589;493;491;428;496;379;520;601;599;755;504;10100
"330180 ENGENHEIRO PAULO DE FRONTIN";17;-;1;3;10;5;4;6;11;7;8;5;5;8;11;21;20;18;160
"330185 GUAPIMIRIM";35;27;45;54;32;11;104;84;52;45;81;92;64;84;57;55;71;68;1061
"330187 IGUABA GRANDE";20;7;1;7;7;6;7;1;-;2;1;1;-;1;1;1;2;1;66
"330190 ITABORAI";229;68;228;231;241;84;103;45;6;19;16;40;215;204;239;238;266;192;2664
"330200 ITAGUAI";41;14;17;9;9;22;42;48;33;30;39;31;46;35;91;122;169;94;892
"330205 ITALVA";17;21;21;28;18;29;15;-;1;-;1;2;1;1;1;1;-;1;158
"330210 ITAOCARA";7;8;10;12;7;5;4;1;1;3;3;3;16;23;45;48;49;49;294
"330220 ITAPERUNA";153;107;115;110;116;106;97;24;11;7;28;36;30;21;13;18;19;22;1033
"330225 ITATIAIA";32;29;18;36;42;35;25;34;26;13;14;20;17;14;9;35;62;70;531
"330227 JAPERI";76;62;43;29;29;28;23;16;4;15;11;29;11;17;10;14;80;63;560
"330230 LAJE DO MURIAE";13;17;27;20;14;12;15;-;-;-;-;1;3;-;1;1;5;6;135
"330240 MACAE";101;66;71;57;58;57;59;65;61;46;46;79;65;49;47;15;11;12;965
"330245 MACUCO";11;4;9;3;1;2;3;1;-;-;3;5;-;2;10;6;3;2;65
"330250 MAGE";482;333;224;139;60;62;35;20;21;22;42;237;196;231;263;334;393;235;3329
"330260 MANGARATIBA";23;22;13;3;10;12;10;5;7;6;6;3;10;21;31;30;25;30;267
"330270 MARICA";92;34;39;28;27;46;38;33;16;53;98;92;83;80;122;152;252;295;1580
"330280 MENDES";32;12;16;16;11;12;27;10;10;8;18;21;7;32;26;15;19;17;309
"330285 MESQUITA";77;74;37;30;20;29;21;15;18;21;9;32;22;26;18;15;25;9;498
"330290 MIGUEL PEREIRA";45;21;18;11;14;14;10;13;45;48;69;81;78;63;90;69;56;64;809
"330300 MIRACEMA";19;26;30;16;20;13;8;3;1;2;1;1;2;29;52;43;26;16;308
"330310 NATIVIDADE";28;21;21;34;27;24;14;39;15;22;44;38;28;41;37;45;42;28;548
"330320 NILOPOLIS";97;60;53;45;28;24;24;20;7;18;23;17;24;25;22;26;29;24;566
"330330 NITEROI";1312;916;1114;1116;829;872;818;941;870;1050;860;1066;758;785;915;657;748;637;16264
"330340 NOVA FRIBURGO";353;197;192;128;144;142;131;103;42;46;64;188;120;112;208;181;165;81;2597
"330350 NOVA IGUACU";245;112;94;72;47;70;88;88;56;80;54;58;54;75;97;77;109;79;1555
"330360 PARACAMBI";354;166;211;160;123;121;81;26;64;72;77;43;49;66;67;65;46;63;1854
"330370 PARAIBA DO SUL";34;7;20;13;13;17;22;10;31;20;23;11;-;-;5;3;56;72;357
"330380 PARATY";28;13;21;19;5;6;7;27;34;40;32;58;51;57;106;104;113;82;803
"330385 PATY DO ALFERES";35;11;19;19;18;17;14;21;52;42;26;63;39;63;50;63;60;59;671
"330390 PETROPOLIS";946;913;648;411;214;130;201;200;293;173;172;266;129;206;199;95;156;154;5506
"330395 PINHEIRAL";19;10;21;13;10;5;12;9;6;15;27;7;16;22;22;30;18;22;284
"330400 PIRAI";23;15;23;10;13;22;36;22;19;24;41;41;25;46;49;40;38;24;511
"330410 PORCIUNCULA";29;22;20;21;11;16;17;1;8;5;7;7;10;1;3;2;1;-;181
"330411 PORTO REAL";35;24;20;29;22;28;28;16;18;17;10;6;17;30;44;44;17;31;436
"330412 QUATIS";148;37;32;30;29;20;26;10;2;20;20;28;22;17;30;51;38;14;574
"330414 QUEIMADOS";102;54;40;44;41;28;14;35;16;17;19;20;20;26;20;26;32;26;580
"330415 QUISSAMA";46;51;44;58;31;34;50;29;35;46;47;37;23;33;23;34;45;44;710
"330420 RESENDE";235;176;223;272;322;407;337;244;252;210;209;234;206;209;247;287;347;191;4608
"330430 RIO BONITO";122;15;20;28;19;9;22;10;2;4;16;19;2;30;74;58;47;42;539
"330440 RIO CLARO";18;17;21;28;22;49;23;30;22;21;38;49;25;22;24;37;44;33;523
"330450 RIO DAS FLORES";23;18;31;26;7;14;18;16;23;9;4;1;2;10;40;11;24;23;300
"330452 RIO DAS OSTRAS";41;30;31;30;59;20;27;5;4;15;29;22;19;7;44;182;118;73;756
"330455 RIO DE JANEIRO";11104;7886;8038;7957;6632;6724;6162;6932;5369;6029;5347;5659;3978;4879;4856;5408;5360;4115;112435
"330460 SANTA MARIA MADALENA";19;2;9;9;2;6;4;2;2;-;5;9;2;3;10;1;2;4;91
"330470 SANTO ANTONIO DE PADUA";15;12;20;12;8;13;10;5;-;7;4;5;2;6;88;135;148;92;582
"330475 SAO FRANCISCO DE ITABAPOANA";65;46;53;44;46;47;38;39;46;68;39;63;44;54;49;73;37;29;880
"330480 SAO FIDELIS";94;68;77;83;44;52;57;39;44;47;24;13;21;20;52;59;71;75;940
"330490 SAO GONCALO";1353;861;955;921;903;411;246;173;74;248;554;644;593;681;808;731;930;625;11711
"330500 SAO JOAO DA BARRA";62;45;48;62;41;32;39;31;29;27;21;36;37;58;78;91;120;115;972
"330510 SAO JOAO DE MERITI";261;126;125;142;96;92;74;113;58;65;69;70;44;86;117;52;67;311;1968
"330513 SAO JOSE DE UBA";35;21;16;19;20;23;13;-;1;3;-;2;5;2;-;-;1;-;161
"330515 SAO JOSE DO VALE DO RIO PRETO";36;24;19;21;20;18;15;14;9;10;3;3;-;1;7;11;12;21;244
"330520 SAO PEDRO DA ALDEIA";29;12;8;2;6;8;16;3;1;2;2;3;6;10;31;28;24;20;211
"330530 SAO SEBASTIAO DO ALTO";6;1;4;8;2;2;3;3;1;2;1;1;2;1;3;4;-;-;44
"330540 SAPUCAIA";47;24;25;15;13;11;13;11;7;1;5;4;1;1;3;2;9;17;209
"330550 SAQUAREMA";72;31;41;37;20;20;29;12;1;5;17;25;9;24;25;56;28;13;465
"330555 SEROPEDICA";30;25;16;9;6;5;10;24;10;12;5;9;7;23;21;25;23;20;280
"330560 SILVA JARDIM";34;7;11;30;30;7;17;48;47;54;24;36;16;21;39;50;25;5;501
"330570 SUMIDOURO";9;12;24;15;7;7;9;7;6;5;9;8;1;8;5;5;4;2;143
"330575 TANGUA";189;63;58;47;45;10;35;3;2;-;4;4;8;10;41;23;33;29;604
"330580 TERESOPOLIS";113;66;66;74;48;50;50;36;31;29;49;55;47;44;79;9;15;8;869
"330590 TRAJANO DE MORAES";11;9;21;10;8;5;4;8;1;3;3;2;4;10;6;-;1;1;107
"330600 TRES RIOS";287;108;101;76;98;84;71;49;41;44;47;20;6;4;6;5;22;29;1098
"330610 VALENCA";251;251;372;425;130;216;135;162;145;201;194;187;180;48;110;171;153;102;3433
"330615 VARRE-SAI";32;8;9;11;20;12;14;2;1;7;3;7;5;4;3;4;4;5;151
"330620 VASSOURAS";155;107;79;62;56;41;20;7;16;24;40;49;30;22;47;48;103;80;986
"330630 VOLTA REDONDA";501;673;626;515;521;427;353;290;350;356;356;360;190;345;347;342;320;186;7058
"350010 ADAMANTINA";438;351;319;303;234;261;285;206;199;144;168;153;140;154;172;145;148;107;3927
"350020 ADOLFO";14;13;14;14;9;8;8;6;3;5;4;6;3;5;3;7;4;4;130
"350030 AGUAI";147;120;142;155;136;127;105;100;69;94;112;137;62;35;101;115;142;102;2001
"350040 AGUAS DA PRATA";40;34;34;40;44;37;39;27;32;24;24;18;13;21;19;21;28;30;525
"350050 AGUAS DE LINDOIA";134;101;83;86;84;46;52;43;51;31;28;11;23;40;66;49;109;118;1155
"350055 AGUAS DE SANTA BARBARA";6;2;6;5;5;1;2;4;5;5;3;10;5;3;5;8;7;8;90
"350060 AGUAS DE SAO PEDRO";4;7;3;6;12;9;7;5;10;4;6;6;2;7;6;12;10;8;124
"350070 AGUDOS";48;33;30;35;63;74;58;63;42;34;50;57;37;29;27;29;25;18;752
"350075 ALAMBARI";11;10;17;10;18;12;4;-;3;1;6;2;3;1;2;-;-;-;100
"350080 ALFREDO MARCONDES";16;22;11;15;29;24;15;26;20;21;33;31;28;41;19;30;53;28;462
"350090 ALTAIR";9;-;1;1;3;1;3;5;5;2;3;1;2;-;2;-;2;5;45
"350100 ALTINOPOLIS";40;23;65;104;108;90;89;106;113;61;75;117;104;103;129;135;176;131;1769
"350110 ALTO ALEGRE";21;9;10;8;13;6;4;2;3;6;3;7;6;2;4;3;7;-;114
"350115 ALUMINIO";52;34;31;40;12;12;9;9;8;8;4;1;3;2;4;3;4;3;239
"350120 ALVARES FLORENCE";17;17;8;9;14;17;10;5;8;9;7;7;2;2;3;3;6;5;149
"350130 ALVARES MACHADO";137;125;179;199;199;164;143;174;175;130;101;111;99;90;96;136;167;103;2528
"350140 ALVARO DE CARVALHO";84;78;78;75;65;61;59;37;15;13;22;7;10;8;7;19;33;12;683
"350150 ALVINLANDIA";16;13;14;15;21;22;11;8;24;26;12;17;13;19;16;8;11;22;288
"350160 AMERICANA";889;751;766;685;858;753;637;695;304;239;340;426;355;360;269;252;487;362;9428
"350170 AMERICO BRASILIENSE";92;88;100;91;64;58;44;51;44;57;25;32;30;24;38;60;81;61;1040
"350180 AMERICO DE CAMPOS";14;7;5;5;7;5;7;7;4;3;5;6;3;3;6;3;11;6;107
"350190 AMPARO";205;189;141;277;159;168;153;167;179;139;187;180;143;110;115;158;180;173;3023
"350200 ANALANDIA";14;15;7;5;3;6;2;2;1;-;4;1;-;1;1;-;-;-;62
"350210 ANDRADINA";63;93;142;118;162;162;157;130;30;38;32;32;9;15;31;36;66;42;1358
"350220 ANGATUBA";49;58;43;46;42;17;7;7;12;21;7;6;6;8;15;13;37;27;421
"350230 ANHEMBI";9;8;13;5;9;9;7;11;2;9;9;3;2;-;6;9;12;10;133
"350240 ANHUMAS";21;11;19;20;34;27;32;7;8;13;13;10;7;5;27;22;36;20;332
"350250 APARECIDA";123;157;119;105;88;109;101;91;81;72;64;50;21;7;8;25;9;9;1239
"350260 APARECIDA D'OESTE";12;10;11;10;10;11;9;4;4;-;3;7;7;3;5;4;7;8;125
"350270 APIAI";28;22;24;25;27;20;25;15;12;11;9;14;13;15;35;25;34;21;375
"350275 ARACARIGUAMA";7;8;5;8;13;5;2;4;2;2;5;7;6;11;12;1;5;5;108
"350280 ARACATUBA";1055;1110;1094;1040;1085;1218;1054;678;62;83;104;121;39;24;48;65;102;62;9044
"350290 ARACOIABA DA SERRA";61;31;37;35;35;17;24;10;10;10;8;18;6;13;7;7;4;3;336
"350300 ARAMINA";4;6;1;3;-;1;2;1;3;13;15;19;15;11;8;9;20;16;147
"350310 ARANDU";2;4;2;1;1;-;2;3;1;3;2;7;-;2;5;7;5;4;51
"350315 ARAPEI";2;-;1;4;4;4;2;2;3;-;-;-;1;-;6;-;3;-;32
"350320 ARARAQUARA";617;594;606;633;595;292;185;190;234;278;313;340;278;264;262;281;298;201;6461
"350330 ARARAS";586;472;301;227;158;144;119;104;99;68;91;89;55;66;83;89;82;81;2914
"350335 ARCO-IRIS";13;11;8;9;11;12;3;9;9;5;7;5;3;4;6;2;1;1;119
"350340 AREALVA";3;7;3;7;23;21;25;12;12;15;7;10;5;2;14;10;31;20;227
"350350 AREIAS";2;1;-;2;2;1;2;2;1;2;-;4;1;5;6;2;1;3;37
"350360 AREIOPOLIS";13;23;17;11;21;11;10;9;9;2;8;14;20;13;13;27;25;10;256
"350370 ARIRANHA";5;13;15;12;9;5;5;9;9;4;5;6;8;6;13;26;18;7;175
"350380 ARTUR NOGUEIRA";112;95;116;75;44;45;71;66;60;50;39;29;23;37;70;66;80;56;1134
"350390 ARUJA";33;34;34;24;24;38;36;29;45;69;55;51;70;50;71;103;107;63;936
"350395 ASPASIA";4;2;8;1;5;4;3;1;2;-;2;1;4;6;6;3;5;1;58
"350400 ASSIS";245;213;265;282;283;241;275;190;186;123;174;202;127;112;183;227;187;154;3669
"350410 ATIBAIA";198;156;162;186;133;109;106;126;109;103;114;136;96;72;65;55;44;47;2017
"350420 AURIFLAMA";50;40;62;76;99;73;58;20;2;5;14;4;2;2;2;2;10;6;527
"350430 AVAI";1;4;3;2;-;-;-;2;-;-;2;-;3;-;6;4;4;3;34
"350440 AVANHANDAVA";49;58;42;54;60;62;59;45;27;31;27;22;18;18;20;7;8;3;610
"350450 AVARE";43;24;37;41;50;64;49;64;61;65;93;116;66;59;50;89;85;44;1100
"350460 BADY BASSITT";35;17;36;18;16;23;17;23;15;19;12;18;18;24;14;24;15;25;369
"350470 BALBINOS";-;-;2;4;3;1;2;-;3;4;7;8;6;8;14;5;14;10;91
"350480 BALSAMO";19;12;9;11;26;16;9;9;3;9;12;13;6;7;6;8;11;5;191
"350490 BANANAL";5;2;-;4;1;6;4;8;6;3;2;5;3;7;6;2;7;2;73
"350500 BARAO DE ANTONINA";4;1;3;1;2;2;1;4;3;5;5;8;14;3;8;12;10;15;101
"350510 BARBOSA";19;19;25;25;47;63;49;35;9;7;13;10;1;1;2;2;1;6;334
"350520 BARIRI";46;49;40;52;57;76;78;78;88;84;106;127;51;42;61;132;143;119;1429
"350530 BARRA BONITA";169;188;218;211;245;152;91;66;60;67;92;89;47;49;63;82;45;63;1997
"350535 BARRA DO CHAPEU";8;6;12;14;11;8;1;4;1;-;1;4;2;1;7;2;3;3;88
"350540 BARRA DO TURVO";9;14;4;4;5;4;4;6;3;4;9;4;-;3;3;3;6;4;89
"350550 BARRETOS";197;6;5;12;10;27;172;223;214;179;146;165;135;194;222;226;287;182;2602
"350560 BARRINHA";26;39;48;27;42;30;37;54;66;57;46;49;49;34;38;34;37;44;757
"350570 BARUERI";256;293;415;404;376;291;413;315;265;198;397;490;557;557;615;683;615;450;7590
"350580 BASTOS";85;67;74;70;69;56;35;23;14;20;29;20;26;20;21;40;32;53;754
"350590 BATATAIS";62;50;84;64;80;70;77;94;85;80;82;115;142;82;113;18;53;57;1408
"350600 BAURU";492;375;387;565;497;461;463;381;336;449;404;468;289;290;381;356;377;345;7316
"350610 BEBEDOURO";58;8;10;27;17;49;74;77;64;60;46;44;38;37;41;49;70;59;828
"350620 BENTO DE ABREU";4;2;3;5;5;5;7;7;4;1;-;-;2;1;-;3;2;-;51
"350630 BERNARDINO DE CAMPOS";78;50;54;55;62;26;33;14;13;23;30;29;17;14;14;19;64;39;634
"350635 BERTIOGA";30;24;41;43;46;53;51;50;70;56;77;52;76;36;71;57;113;73;1019
"350640 BILAC";16;22;23;16;31;19;18;20;3;3;5;8;2;2;5;3;7;2;205
"350650 BIRIGUI";691;698;631;687;590;622;574;283;68;68;102;134;40;37;76;72;86;67;5526
"350660 BIRITIBA-MIRIM";18;7;16;3;12;9;28;21;38;30;26;28;24;24;26;31;25;15;381
"350670 BOA ESPERANCA DO SUL";71;58;61;34;43;6;5;3;11;19;15;10;15;6;6;2;7;4;376
"350680 BOCAINA";27;10;8;27;25;20;33;31;14;24;24;44;27;28;66;56;39;12;515
"350690 BOFETE";15;16;12;17;3;12;9;6;9;11;24;9;5;4;17;16;26;31;242
"350700 BOITUVA";79;57;42;57;36;23;13;10;8;5;7;8;7;12;39;42;53;28;526
"350710 BOM JESUS DOS PERDOES";47;20;28;29;29;17;24;36;41;18;27;19;30;12;16;27;31;38;489
"350715 BOM SUCESSO DE ITARARE";9;4;8;6;5;3;5;-;2;2;-;-;2;1;2;2;1;1;53
"350720 BORA";3;13;4;8;3;8;3;4;5;4;1;3;-;-;-;2;1;2;64
"350730 BORACEIA";5;3;7;9;6;7;5;4;3;12;4;8;2;2;12;8;4;1;102
"350740 BORBOREMA";55;50;43;35;33;24;13;19;22;19;21;28;16;19;37;38;29;19;520
"350745 BOREBI";5;3;2;5;1;2;2;-;2;-;3;8;-;3;7;8;10;2;63
"350750 BOTUCATU";397;369;381;381;296;278;288;310;280;285;278;286;215;232;261;214;220;279;5250
"350760 BRAGANCA PAULISTA";376;333;426;380;352;299;290;247;270;241;278;285;254;220;211;283;319;252;5316
"350770 BRAUNA";11;14;12;6;5;13;13;8;4;3;1;1;2;4;3;7;4;2;113
"350775 BREJO ALEGRE";28;19;21;11;20;21;16;8;3;5;-;2;-;1;-;2;-;-;157
"350780 BRODOWSKI";54;46;50;20;24;21;29;42;59;43;55;64;33;23;24;33;28;38;686
"350790 BROTAS";28;30;30;31;31;17;23;42;7;35;11;10;17;8;17;37;22;29;425
"350800 BURI";27;19;29;29;20;5;7;6;5;8;7;21;10;7;5;20;30;5;260
"350810 BURITAMA";119;101;102;112;107;107;86;70;22;17;12;12;4;8;2;9;8;14;912
"350820 BURITIZAL";3;2;2;1;1;2;-;2;1;-;-;2;1;10;6;8;9;15;65
"350830 CABRALIA PAULISTA";10;4;4;6;2;4;8;7;8;3;10;19;4;10;19;30;22;27;197
"350840 CABREUVA";66;38;25;47;46;29;17;26;19;24;28;45;44;36;34;41;53;52;670
"350850 CACAPAVA";60;56;52;58;51;61;58;8;8;8;8;22;5;15;31;48;51;43;643
"350860 CACHOEIRA PAULISTA";20;10;9;17;26;14;19;20;9;19;24;27;26;19;36;53;39;31;418
"350870 CACONDE";65;40;50;77;68;72;64;59;39;64;77;110;55;45;57;65;51;31;1089
"350880 CAFELANDIA";18;28;27;25;17;21;27;26;28;42;59;47;81;43;48;52;21;28;638
"350890 CAIABU";8;5;8;5;18;8;17;9;7;10;13;16;7;13;21;28;14;11;218
"350900 CAIEIRAS";67;74;127;155;127;116;95;164;131;130;141;179;116;113;123;154;145;122;2279
"350910 CAIUA";26;17;9;27;31;26;18;24;18;29;22;15;22;10;13;18;16;17;358
"350920 CAJAMAR";37;23;41;84;91;82;93;69;69;113;89;118;98;157;180;246;254;220;2064
"350925 CAJATI";46;39;22;18;21;13;4;5;12;15;12;28;18;8;13;23;16;19;332
"350930 CAJOBI";3;2;9;7;1;1;2;7;6;8;7;6;5;6;2;7;7;2;88
"350940 CAJURU";43;28;27;41;73;78;96;111;155;229;228;247;293;242;251;323;277;166;2908
"350945 CAMPINA DO MONTE ALEGRE";13;9;3;13;16;3;3;4;5;5;1;-;-;1;3;1;4;4;88
"350950 CAMPINAS";1562;1605;1705;1894;1689;1820;1897;1993;1913;1242;1181;1401;1190;1056;1037;1087;1155;856;26283
"350960 CAMPO LIMPO PAULISTA";74;52;45;81;57;40;45;89;67;18;29;34;42;33;27;35;37;35;840
"350970 CAMPOS DO JORDAO";21;6;5;10;9;5;5;29;4;6;17;68;67;108;96;74;71;47;648
"350980 CAMPOS NOVOS PAULISTA";19;18;18;35;33;26;19;26;14;11;11;14;12;9;15;8;18;20;326
"350990 CANANEIA";22;14;6;10;12;8;7;5;2;4;2;4;5;-;5;12;15;1;134
"350995 CANAS";-;1;-;2;-;1;1;-;-;1;1;3;5;3;1;2;-;-;21
"351000 CANDIDO MOTA";59;40;66;51;63;46;76;63;54;37;48;56;62;59;60;99;63;38;1040
"351010 CANDIDO RODRIGUES";8;6;2;4;3;-;-;1;2;1;2;3;-;-;6;3;-;2;43
"351015 CANITAR";34;29;31;59;45;17;13;25;8;5;13;13;2;1;6;12;4;11;328
"351020 CAPAO BONITO";77;59;68;79;58;37;12;5;1;14;17;20;18;25;28;5;24;31;578
"351030 CAPELA DO ALTO";63;25;28;43;15;12;10;10;12;12;18;15;8;16;30;15;11;21;364
"351040 CAPIVARI";84;71;43;28;51;51;79;82;71;71;76;54;28;23;31;29;52;53;977
"351050 CARAGUATATUBA";95;95;44;121;86;74;70;17;18;27;50;78;48;79;188;196;173;138;1597
"351060 CARAPICUIBA";260;310;240;204;208;190;241;255;205;185;174;218;165;190;203;136;157;149;3690
"351070 CARDOSO";23;32;21;23;15;21;19;8;9;33;24;20;25;24;32;29;32;27;417
"351080 CASA BRANCA";333;100;103;160;121;119;118;105;70;73;127;147;101;105;92;164;390;149;2577
"351090 CASSIA DOS COQUEIROS";11;3;7;8;6;9;6;5;2;4;8;7;2;2;6;8;6;7;107
"351100 CASTILHO";40;39;37;40;50;48;35;33;8;7;29;16;12;1;12;11;27;43;488
"351110 CATANDUVA";455;389;429;385;383;311;311;279;219;313;286;308;251;211;261;353;455;411;6010
"351120 CATIGUA";9;9;11;22;32;22;17;24;33;23;13;21;26;26;32;40;26;25;411
"351130 CEDRAL";16;11;6;5;8;8;10;7;14;18;19;5;5;13;9;11;7;5;177
"351140 CERQUEIRA CESAR";14;10;32;49;41;12;13;37;32;23;67;34;63;54;70;100;109;84;844
"351150 CERQUILHO";58;38;50;49;36;30;16;8;10;13;7;5;12;3;8;13;9;25;390
"351160 CESARIO LANGE";31;22;16;21;15;15;6;5;9;12;6;3;2;-;6;16;2;4;191
"351170 CHARQUEADA";38;41;30;17;24;23;20;29;22;19;24;22;25;26;46;49;52;45;552
"351190 CLEMENTINA";21;20;27;14;17;19;24;18;4;7;1;6;6;2;2;1;2;1;192
"351200 COLINA";12;1;1;2;2;1;13;22;16;15;11;12;8;10;9;16;21;21;193
"351210 COLOMBIA";6;1;1;2;1;-;3;-;3;1;1;-;2;-;2;3;1;2;29
"351220 CONCHAL";110;139;94;82;58;50;70;60;67;59;77;47;42;40;42;63;54;71;1225
"351230 CONCHAS";11;24;24;19;43;37;35;17;16;15;14;33;15;8;33;44;34;34;456
"351240 CORDEIROPOLIS";73;57;54;43;36;26;40;37;35;34;27;27;32;43;44;43;43;24;718
"351250 COROADOS";28;18;21;28;30;28;21;14;-;7;4;8;2;4;7;6;3;1;230
"351260 CORONEL MACEDO";3;1;5;10;3;3;1;1;-;6;4;3;8;7;12;12;8;14;101
"351270 CORUMBATAI";12;7;7;3;3;1;2;-;-;-;3;4;-;-;-;3;1;-;46
"351280 COSMOPOLIS";125;124;142;173;134;100;99;107;74;86;38;41;80;92;111;127;125;73;1851
"351290 COSMORAMA";22;21;9;4;10;16;13;5;2;4;5;4;6;6;7;6;5;2;147
"351300 COTIA";58;54;64;87;117;87;97;88;117;143;105;159;130;115;109;150;163;131;1974
"351310 CRAVINHOS";36;67;37;27;30;39;51;53;63;56;75;99;88;79;103;113;107;94;1217
"351320 CRISTAIS PAULISTA";8;7;5;5;5;4;-;2;1;9;3;8;6;6;5;11;13;3;101
"351330 CRUZALIA";3;-;4;6;3;3;4;2;9;3;3;3;2;1;-;6;5;5;62
"351340 CRUZEIRO";29;15;23;25;17;16;13;17;12;16;14;52;52;77;78;99;161;143;859
"351350 CUBATAO";141;124;144;140;108;100;94;68;68;47;102;75;81;139;155;115;239;179;2119
"351360 CUNHA";9;8;9;14;18;14;11;10;6;6;9;12;3;5;4;11;17;7;173
"351370 DESCALVADO";25;38;41;33;50;21;9;12;17;9;20;54;52;55;50;43;54;95;678
"351380 DIADEMA";781;551;729;681;862;821;693;514;591;729;606;1066;750;699;688;675;628;420;12484
"351385 DIRCE REIS";7;8;6;2;5;7;6;2;1;1;4;6;3;4;7;3;4;4;80
"351390 DIVINOLANDIA";42;42;49;37;23;24;16;20;22;29;24;22;14;19;10;9;17;7;426
"351400 DOBRADA";19;25;18;21;18;9;6;5;2;8;18;9;10;14;9;16;13;7;227
"351410 DOIS CORREGOS";78;70;65;42;44;46;45;39;43;45;44;29;19;29;22;53;40;48;801
"351420 DOLCINOPOLIS";2;3;3;1;-;1;1;1;-;-;4;3;2;2;3;2;3;-;31
"351430 DOURADO";10;19;20;15;17;5;5;1;3;7;6;4;7;8;3;9;12;4;155
"351440 DRACENA";158;170;175;154;139;129;115;113;115;122;121;110;122;92;88;95;133;93;2244
"351450 DUARTINA";20;14;14;6;13;6;13;19;19;17;30;23;23;30;37;43;72;98;497
"351460 DUMONT";21;24;9;18;18;19;7;15;13;18;8;11;16;7;17;18;18;20;277
"351470 ECHAPORA";24;24;13;22;20;17;17;15;20;21;24;21;16;25;19;20;29;22;369
"351480 ELDORADO";13;6;6;5;11;3;7;7;4;7;8;13;5;2;3;9;8;7;124
"351490 ELIAS FAUSTO";47;37;21;28;28;15;26;17;13;10;8;19;14;3;8;4;10;9;317
"351492 ELISIARIO";7;10;5;8;7;2;4;1;1;6;-;10;5;15;14;9;10;10;124
"351495 EMBAUBA";6;3;2;1;4;2;-;-;2;7;7;7;4;5;5;1;9;6;71
"351500 EMBU DAS ARTES";278;268;324;336;340;258;270;265;235;195;203;248;253;226;293;299;330;275;4896
"351510 EMBU-GUACU";19;11;51;63;22;16;13;13;59;103;90;72;76;39;61;131;74;39;952
"351512 EMILIANOPOLIS";9;15;7;5;15;17;14;14;15;13;11;13;7;5;6;3;3;5;177
"351515 ENGENHEIRO COELHO";44;45;35;27;23;12;11;10;22;17;11;11;11;7;12;21;29;21;369
"351518 ESPIRITO SANTO DO PINHAL";624;381;390;371;391;387;445;353;285;359;411;422;296;369;476;541;593;445;7539
"351519 ESPIRITO SANTO DO TURVO";26;24;31;23;15;19;9;21;16;28;17;10;10;12;24;21;15;17;338
"351520 ESTRELA D'OESTE";15;9;7;12;15;8;9;1;5;2;7;7;10;6;12;11;10;10;156
"351530 ESTRELA DO NORTE";6;3;7;10;5;16;11;14;5;3;7;28;15;19;18;23;24;22;236
"351535 EUCLIDES DA CUNHA PAULISTA";48;38;36;32;52;39;37;43;48;40;30;20;36;34;41;78;69;68;789
"351540 FARTURA";15;22;25;16;7;18;17;10;19;11;16;33;17;33;18;20;34;35;366
"351550 FERNANDOPOLIS";86;76;52;45;45;69;61;45;38;50;60;68;81;71;77;60;62;36;1082
"351560 FERNANDO PRESTES";16;11;10;9;15;11;5;1;2;6;2;8;10;6;7;6;5;10;140
"351565 FERNAO";9;6;11;12;9;17;16;15;7;6;-;10;2;6;7;11;11;4;159
"351570 FERRAZ DE VASCONCELOS";183;83;222;187;167;191;273;266;279;298;260;273;208;166;201;173;179;132;3741
"351580 FLORA RICA";8;6;5;9;8;2;6;4;6;4;8;5;5;2;5;4;5;2;94
"351590 FLOREAL";1;3;2;3;3;5;3;1;-;4;5;-;-;1;4;3;8;1;47
"351600 FLORIDA PAULISTA";114;104;98;108;84;64;43;34;25;22;43;28;22;24;34;55;46;35;983
"351610 FLORINIA";19;20;15;10;9;17;15;13;7;10;7;14;16;6;15;19;13;11;236
"351620 FRANCA";1511;1082;998;944;863;714;815;710;1051;959;920;1031;850;865;828;788;807;651;16387
"351630 FRANCISCO MORATO";112;99;143;289;273;206;227;252;221;306;329;302;291;354;301;340;335;364;4744
"351640 FRANCO DA ROCHA";572;230;395;715;544;515;526;539;652;563;521;462;404;441;372;411;442;352;8656
"351650 GABRIEL MONTEIRO";5;3;4;3;7;10;6;4;1;1;2;1;-;-;-;-;2;2;51
"351660 GALIA";42;58;42;52;63;59;40;51;52;35;33;34;30;41;27;34;30;22;745
"351670 GARCA";968;903;958;1072;997;805;653;507;342;254;236;194;126;102;152;211;236;166;8882
"351680 GASTAO VIDIGAL";7;3;2;2;4;1;-;1;2;2;5;1;1;2;1;3;4;5;46
